Activity,Injury,Fatal,Species,Age,Age_group,,,,,,
surfing,Foot bitten,non-fatal,other,28,Young Adult,,,,,,
surfing,Lacerations to foot,non-fatal,other,,Unknown,,,,,,
snorkeling,FATAL,fatal,white shark,,Unknown,,,,,,
swimming,FATAL,fatal,white shark,68,Senior,,,,,,
swimming,Injury to right foot,non-fatal,other,,Unknown,,,,,,
swimming,Laceration to leg,non-fatal,other,35,Young Adult,,,,,,
swimming,FATAL,fatal,other,,Unknown,,,,,,
fishing,Right arm severed,non-fatal,tiger shark,,Unknown,,,,,,
swimming,Stomach and leg injuries including a broken femur,non-fatal,white shark,62,Senior,,,,,,
swimming,Minor injury,non-fatal,other,,Unknown,,,,,,
surfing,Knocked off board by a  shark.   No injury,non-fatal,whaler shark,,Unknown,,,,,,
diving,No Injury,non-fatal,bull shark,20,Young Adult,,,,,,
fishing,Right hand and forearm bitten PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
fishing,Right cakf bitten when he fell overboard,non-fatal,other,62,Senior,,,,,,
fishing,Thumb bitten by hooked shark PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
other,Cut to knee,non-fatal,tiger shark,22,Young Adult,,,,,,
paddle,"No injury, knocked off board by shark chasing a turtle",non-fatal,other,32,Young Adult,,,,,,
swimming,Bite to right foot,non-fatal,other,17,Teen,,,,,,
kayaking,No injury to occupants. Kayak bitten,non-fatal,other,,Unknown,,,,,,
fishing,Knee bitten                    PROVOKED INCIDENT,non-fatal,other,,Unknown,,,,,,
swimming,FATAL,fatal,tiger shark,56,Adult,,,,,,
surfing,"No injury, shark leapt on surfboard",non-fatal,other,,Unknown,,,,,,
surfing,Lacerations and punctures to leg and foot,non-fatal,bull shark,32,Young Adult,,,,,,
swimming,,non-fatal,other,,Unknown,,,,,,
surfing,Bite to right foot,non-fatal,other,20,Young Adult,,,,,,
fishing,Minor injuries to knee and calf of left leg                            PROVOKED INCIDENT                 ,non-fatal,other,21,Young Adult,,,,,,
surfing,"No injury, board bitten",non-fatal,other,,Unknown,,,,,,
other,FATAL,fatal,white shark,42,Adult,,,,,,
diving,Arm bitten,non-fatal,other,51,Adult,,,,,,
other,Lacerations to left thigh,non-fatal,tiger shark,,Unknown,,,,,,
swimming,FATAL,fatal,other,36,Adult,,,,,,
surfing,FATAL,fatal,other,56,Adult,,,,,,
surfing,Puncture wounds to foot,non-fatal,other,18,Teen,,,,,,
diving,Right forearm and left hand injured,unknown,bull shark,50,Adult,,,,,,
other,Torso bitten,non-fatal,white shark,20,Young Adult,,,,,,
swimming,Foot bitten,non-fatal,other,,Unknown,,,,,,
snorkeling,"Knees, ankles & feet bitten",non-fatal,other,,Unknown,,,,,,
fishing,"PROVOKED INCIDENT               No injury to occupants, shark bit ski",non-fatal,other,,Unknown,,,,,,
swimming,Puncture wounds,non-fatal,other,13,Teen,,,,,,
surfing,Punctures to leg,non-fatal,other,42,Adult,,,,,,
surfing,"No injury, knocked off board",non-fatal,other,,Unknown,,,,,,
swimming,Laceration to big toe,non-fatal,other,9,Child,,,,,,
other,Fatal bite to chest,fatal,white shark,31,Young Adult,,,,,,
surfing,Punctures to leg,non-fatal,other,42,Adult,,,,,,
fishing,Laceration to leg,non-fatal,bull shark,24,Young Adult,,,,,,
